,Text,Labels
0,a very very very slowmoving aimless movie about a distressed drifting young man,0
1,not sure who was more lost  the flat characters or the audience nearly half of whom walked out,0
2,attempting artiness with black  white and clever camera angles the movie disappointed  became even more ridiculous  as the acting was poor and the plot and lines almost nonexistent,0
3,very little music or anything to speak of,0
4,the best scene in the movie was when gerardo is trying to find a song that keeps running through his head,1
5,the rest of the movie lacks art charm meaning if its about emptiness it works i guess because its empty,0
6,wasted two hours,0
7,saw the movie today and thought it was a good effort good messages for kids,1
8,a bit predictable,0
9,loved the casting of jimmy buffet as the science teacher,1
10,and those baby owls were adorable,1
11,the movie showed a lot of florida at its best made it look very appealing,1
12,the songs were the best and the muppets were so hilarious,1
13,it was so cool,1
14,this is a very right on case movie that delivers everything almost right in your face,1
15,it had some average acting from the main person and it was a low budget as you clearly can see,0
16,this review is long overdue since i consider a tale of two sisters to be the single greatest film ever made,1
17,ill put this gem up against any movie in terms of screenplay cinematography acting postproduction editing directing or any other aspect of filmmaking,1
18,its practically perfect in all of them  a true masterpiece in a sea of faux masterpieces,1
